,name,album,artist,length,acousticness,danceability,energy,loudness,tempo,valence,playlist
142,Heaven's Just A Sin Away,Heaven's Just A Sin Away,The Kendalls,146466,0.775,0.56,0.593,-7.622,154.311,0.862,1970s
143,Help Me Make It Through The Night,The Best Of Sammi Smith,Sammi Smith,155533,0.605,0.559,0.35,-12.01,78.035,0.413,1970s
144,The Grand Tour,George Jones - 16 Biggest Hits,George Jones,187373,0.944,0.458,0.275,-11.498,88.718,0.449,1970s
145,East Bound and Down,The Essential Jerry Reed,Jerry Reed,167706,0.396,0.495,0.929,-9.373,121.348,0.788,1970s
146,Drinkin' My Baby (Off My Mind) - 2009 Remaster,Number One Hits,Eddie Rabbitt,145946,0.0764,0.614,0.706,-7.397,127.952,0.867,1970s
147,If We're Not Back In Love By Monday,Ramblin' Fever,Merle Haggard,196000,0.813,0.696,0.193,-16.637,76.55,0.701,1970s
148,You've Never Been This Far Before,Conway Twitty - 25 Number Ones,Conway Twitty,181932,0.694,0.469,0.235,-14.399,138.522,0.52,1970s
149,For the Good Times,The Essential Ray Price,Ray Price,227786,0.76,0.352,0.204,-15.414,83.342,0.524,1970s
150,The Devil Went Down to Georgia,Million Mile Reflections,The Charlie Daniels Band,215066,0.131,0.517,0.535,-12.027,135.087,0.933,1970s
151,Rub It In,"The Best Of Billy ""Crash"" Craddock",Billy 'Crash' Craddock,146800,0.404,0.759,0.543,-11.189,115.671,0.977,1970s
152,"When You're Hot, You're Hot",The Essential Jerry Reed,Jerry Reed,139560,0.354,0.788,0.832,-10.783,101.045,0.91,1970s
153,Just Good Ol' Boys,The Ultimate Moe & Joe,Moe Bandy,155226,0.665,0.607,0.598,-8.875,151.233,0.733,1970s
154,Stop And Smell The Roses,Stop And Smell The Roses,Mac Davis,201600,0.232,0.528,0.421,-16.302,85.449,0.763,1970s
155,Don't the Girls All Get Prettier at Closing Time,16 Biggest Hits,Mickey Gilley,177266,0.605,0.657,0.808,-8.564,89.918,0.926,1970s
156,Rose Garden,Rose Garden,Lynn Anderson,175866,0.168,0.589,0.501,-11.665,131.064,0.969,1970s
157,Coat of Many Colors,Coat Of Many Colors,Dolly Parton,183666,0.93,0.624,0.257,-13.341,85.617,0.681,1970s
