,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist,genre
87,Send Me The Pillow You Dream On,25 All-Time Greatest Hits,Johnny Tillotson,2001-01-01,173960,0,0.724,0.433,0.318,2.5e-05,0.347,-9.149,0.0271,109.32,0.432,D,4,1960s,country
88,The Streets of Baltimore,Streets of Baltimore,Bobby Bare,1966-08-22,157640,45,0.629,0.578,0.447,0.0,0.19,-14.212,0.032,116.128,0.808,E,4,1960s,country
89,Misery Loves Company,The Best Of The Best,Porter Wagoner,2005,149546,25,0.534,0.455,0.441,0.0,0.124,-11.119,0.08,189.169,0.633,F,3,1960s,country
90,Right Or Wrong,The Ultimate Collection,Wanda Jackson,2007-01-01,157160,42,0.814,0.425,0.291,0.0,0.143,-10.554,0.0315,114.571,0.393,G,4,1960s,country
91,Once a Day,The Essential Connie Smith,Connie Smith,1996-04-15,138146,0,0.221,0.492,0.334,0.0,0.0852,-10.458,0.0305,136.547,0.692,F#/Gb,4,1960s,country
92,Timber I'm Falling,Super Hits,Ferlin Husky,2005,152800,26,0.526,0.757,0.701,4.84e-05,0.121,-7.345,0.0347,112.947,0.884,E,4,1960s,country
93,(That's What You Get) For Lovin' Me,The Essential Waylon Jennings,Waylon Jennings,2007-05-01,146133,45,0.664,0.608,0.684,2.94e-06,0.0897,-9.806,0.0419,89.074,0.873,E,4,1960s,country
94,Standing In The Shadows,"The Best Of Hank Williams, Jr. 20th Century Masters The Millennium Collection","Hank Williams, Jr.",2004-01-01,189573,37,0.902,0.524,0.3,0.0192,0.156,-14.508,0.0354,98.107,0.544,D,4,1960s,country
95,Pop a Top,The Essential Jim Ed Brown And The Browns (feat. Jim Ed Brown),The Browns,1996-01-30,140306,45,0.687,0.524,0.497,5.66e-06,0.175,-10.824,0.0372,118.263,0.913,A,4,1960s,country
96,Don't Touch Me,The Seely Style,Jeannie Seely,1966-01-01,192960,40,0.896,0.383,0.0557,6.73e-06,0.0758,-15.546,0.0388,105.85,0.197,E,3,1960s,country
97,Burning Memories - Single Version,Burning Memories,Ray Price,1964-12-17,149200,40,0.899,0.32,0.297,0.000738,0.347,-15.054,0.0357,102.12,0.445,G,4,1960s,country
98,Yakety Axe,The Essential Chet Atkins,Chet Atkins,2007-07-16,123240,41,0.305,0.608,0.691,0.629,0.067,-10.119,0.0331,118.942,0.921,C,4,1960s,country
99,Don't Let Me Cross Over,Don't Let Me Cross Over,Carl Butler,1963-12-17,177106,49,0.871,0.59,0.188,0.0,0.0877,-12.253,0.0302,113.907,0.521,G,3,1960s,country
0,Good Hearted Woman,Ultimate Waylon Jennings,Waylon Jennings,2004-03-23,178733,55,0.387,0.41,0.568,0.102,0.389,-11.673,0.0346,103.026,0.644,D,4,1970s,country
1,The Gambler,20 #1's: Classic Country,Various Artists,2015-06-16,210679,0,0.408,0.682,0.532,0.0,0.122,-11.61,0.0826,88.286,0.773,E,4,1970s,country
2,Tulsa Time,20 Greatest Hits,Don Williams,1987-01-01,192800,48,0.493,0.877,0.489,8.05e-06,0.0611,-15.244,0.0385,103.886,0.929,E,4,1970s,country
3,Every Which Way but Loose - 2009 Remaster,Number One Hits,Eddie Rabbitt,2009-10-05,171653,54,0.458,0.598,0.483,7.88e-06,0.36,-7.474,0.0292,130.663,0.452,G,4,1970s,country
4,Kiss an Angel Good Mornin',The Essential Charley Pride,Charley Pride,2006-05-08,123133,51,0.708,0.684,0.498,0.0,0.365,-10.836,0.03,131.855,0.905,E,4,1970s,country
5,Let Your Love Flow,Bellamy Brothers,The Bellamy Brothers,1976-07-01,198760,72,0.0611,0.679,0.553,7.16e-06,0.139,-14.687,0.0316,109.071,0.946,D#/Eb,4,1970s,country
6,Thank God I'm a Country Boy - Live,The Essential John Denver,John Denver,2007-02-27,200466,0,0.656,0.409,0.621,0.0,0.967,-11.016,0.138,202.354,0.836,A,3,1970s,country
