,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist
90,We'll Get Ahead Someday,The Essential Porter Wagoner & Dolly Parton,Porter Wagoner,2015-10-02,117053,42,0.333,0.68,0.404,0.0,0.114,-12.732,0.0307,82.02,0.917,11,4,1960s
91,(That's What You Get) For Lovin' Me,The Essential Waylon Jennings,Waylon Jennings,2007-05-01,146133,45,0.664,0.608,0.684,2.94e-06,0.0897,-9.806,0.0419,89.074,0.873,4,4,1960s
92,May the Bird of Paradise Fly up Your Nose,May the Bird of Paradise Fly Up Your Nose,Little Jimmy Dickens,1965,151693,42,0.738,0.66,0.801,1.04e-05,0.627,-8.446,0.115,104.374,0.867,4,4,1960s
93,Pop a Top,The Essential Jim Ed Brown And The Browns (feat. Jim Ed Brown),The Browns,1996-01-30,140306,44,0.687,0.524,0.497,5.66e-06,0.175,-10.824,0.0372,118.263,0.913,9,4,1960s
94,Don't Touch Me,The Seely Style,Jeannie Seely,1966-01-01,192960,39,0.896,0.383,0.0557,6.73e-06,0.0758,-15.546,0.0388,105.85,0.197,4,3,1960s
95,Once a Day,The Essential Connie Smith,Connie Smith,1996-04-15,138146,0,0.221,0.492,0.334,0.0,0.0852,-10.458,0.0305,136.547,0.692,6,4,1960s
96,The Streets of Baltimore,Streets of Baltimore,Bobby Bare,1966-08-22,157640,45,0.629,0.578,0.447,0.0,0.19,-14.212,0.032,116.128,0.808,4,4,1960s
97,Big Iron,Gunfighter Ballads And Trail Songs,Marty Robbins,1959,235733,70,0.803,0.726,0.474,0.0,0.258,-7.834,0.0491,116.027,0.57,1,4,1960s
98,Don't Let Me Cross Over,Don't Let Me Cross Over,Carl Butler,1963-12-17,177106,48,0.871,0.59,0.188,0.0,0.0877,-12.253,0.0302,113.907,0.521,7,3,1960s
99,Yakety Axe,The Essential Chet Atkins,Chet Atkins,2007-07-16,123240,41,0.305,0.608,0.691,0.629,0.067,-10.119,0.0331,118.942,0.921,0,4,1960s
0,Good Hearted Woman,Ultimate Waylon Jennings,Waylon Jennings,2004-03-23,178733,55,0.387,0.41,0.568,0.102,0.389,-11.673,0.0346,103.026,0.644,2,4,1970s
1,Thank God I'm a Country Boy - Live,The Essential John Denver,John Denver,2007-02-27,200466,0,0.656,0.409,0.621,0.0,0.967,-11.016,0.138,202.354,0.836,9,3,1970s
2,Tulsa Time,20 Greatest Hits,Don Williams,1987-01-01,192800,47,0.493,0.877,0.489,8.05e-06,0.0611,-15.244,0.0385,103.886,0.929,4,4,1970s
3,Kiss an Angel Good Mornin',The Essential Charley Pride,Charley Pride,2006-05-08,123133,51,0.708,0.684,0.498,0.0,0.365,-10.836,0.03,131.855,0.905,4,4,1970s
4,Let Your Love Flow,Bellamy Brothers,The Bellamy Brothers,1976-07-01,198760,71,0.0611,0.679,0.553,7.16e-06,0.139,-14.687,0.0316,109.071,0.946,3,4,1970s
5,Y'all Come Back Saloon,Oak Ridge Boys Greatest Hits,The Oak Ridge Boys,1980-01-01,174226,41,0.0994,0.684,0.417,3.69e-05,0.0789,-14.849,0.0502,82.837,0.743,2,4,1970s
6,Lucille - 2006 Digital Remaster,Number Ones,Kenny Rogers,2006-01-01,219360,0,0.412,0.65,0.286,0.0,0.133,-15.878,0.0345,142.236,0.418,5,3,1970s
7,You Never Even Called Me By My Name,David Allan Coe - 16 Biggest Hits,David Allan Coe,1975,314226,56,0.153,0.604,0.459,0.0,0.275,-13.19,0.0321,105.908,0.505,0,4,1970s
8,"Mammas, Don't Let Your Babies Grow Up to Be Cowboys",The Essential Waylon Jennings,Waylon Jennings,2007-05-01,152533,56,0.578,0.373,0.423,0.00115,0.16,-11.642,0.0618,187.477,0.527,9,3,1970s
9,Blue Eyes Crying In the Rain,Red Headed Stranger,Willie Nelson,1975-05-01,138600,62,0.928,0.626,0.04,0.00178,0.11,-19.994,0.0405,117.136,0.418,4,4,1970s
10,Take This Job and Shove It,Johnny Paycheck - 16 Biggest Hits,Johnny Paycheck,1971,156666,47,0.556,0.763,0.364,2.02e-05,0.0792,-14.244,0.0559,137.132,0.715,5,4,1970s
